fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality,alcohol.density.ratio,quality_label
7.0,0.27,0.36,3.077312260546414,0.04401688541677433,45.0,170.0,1.001,3.0,0.45,8.8,6,8.791208791208794,Low
6.3,0.3,0.34,0.9555114450274363,0.04783732941416013,14.0,132.0,0.994,3.3,0.49,9.5,6,9.557344064386317,Low
8.1,0.28,0.4,2.066862759472976,0.048790164169432,30.0,97.0,0.9951,3.26,0.44,10.1,6,10.149733695106018,Low
7.2,0.23,0.32,2.2512917986064953,0.05638033343610764,47.0,186.0,0.9956,3.19,0.4,9.9,6,9.943752511048613,Low
7.2,0.23,0.32,2.2512917986064953,0.05638033343610764,47.0,186.0,0.9956,3.19,0.4,9.9,6,9.943752511048613,Low
8.1,0.28,0.4,2.066862759472976,0.048790164169432,30.0,97.0,0.9951,3.26,0.44,10.1,6,10.149733695106018,Low
6.2,0.32,0.16,2.0794415416798357,0.04401688541677433,30.0,136.0,0.9949,3.18,0.47,9.6,6,9.649210975977486,Low
7.0,0.27,0.36,3.077312260546414,0.04401688541677433,45.0,170.0,1.001,3.0,0.45,8.8,6,8.791208791208794,Low
6.3,0.3,0.34,0.9555114450274363,0.04783732941416013,14.0,132.0,0.994,3.3,0.49,9.5,6,9.557344064386317,Low
8.1,0.22,0.43,0.9162907318741551,0.04305948946044697,28.0,129.0,0.9938,3.22,0.45,11.0,6,11.068625477963373,Low
8.1,0.27,0.41,0.8960880245566356,0.032467190137501496,11.0,63.0,0.9908,2.99,0.56,12.0,5,12.111425111021397,Low
8.6,0.23,0.4,1.6486586255873816,0.0344014267173324,17.0,109.0,0.9947,3.14,0.53,9.7,5,9.751683924801446,Low
7.9,0.18,0.37,0.7884573603642702,0.039220713153281295,16.0,75.0,0.992,3.18,0.63,10.8,5,10.88709677419355,Low
6.6,0.16,0.4,0.9162907318741551,0.04305948946044697,48.0,143.0,0.9912,3.54,0.52,12.4,7,12.510088781275222,High
6.6,0.17,0.38,0.9162907318741551,0.03149866705937099,28.0,112.0,0.9914,3.25,0.55,11.4,7,11.49889045793827,High
6.3,0.48,0.04,0.7419373447293773,0.044973365642731154,30.0,99.0,0.9928,3.24,0.36,9.6,6,9.6696212731668,Low
6.2,0.66,0.48,0.7884573603642702,0.028587456851912555,29.0,75.0,0.9892,3.33,0.39,12.8,8,12.939749292357462,High
7.4,0.34,0.42,0.7419373447293773,0.032467190137501496,17.0,171.0,0.9917,3.12,0.53,11.3,6,11.39457497226984,Low
6.5,0.31,0.14,2.1400661634962708,0.04305948946044697,34.0,133.0,0.9955,3.22,0.5,9.5,5,9.542943244600703,Low
6.2,0.66,0.48,0.7884573603642702,0.028587456851912555,29.0,75.0,0.9892,3.33,0.39,12.8,8,12.939749292357462,High
6.8,0.26,0.42,0.9932517730102833,0.04783732941416013,41.0,122.0,0.993,3.47,0.48,10.5,8,10.574018126888218,High
7.6,0.67,0.14,0.9162907318741551,0.07138999608667293,25.0,168.0,0.9937,3.05,0.51,9.3,5,9.358961457180236,Low
6.6,0.27,0.41,0.832909122935104,0.050693114315518116,16.0,142.0,0.9951,3.42,0.47,10.0,6,10.049241282283187,Low
7.0,0.25,0.32,2.302585092994046,0.044973365642731154,56.0,245.0,0.9955,3.25,0.5,10.4,6,10.447011551983927,Low
6.9,0.24,0.35,0.6931471805599453,0.050693114315518116,35.0,146.0,0.993,3.45,0.44,10.0,6,10.070493454179255,Low
7.0,0.28,0.39,2.272125885509337,0.04974209189481407,32.0,141.0,0.9961,3.38,0.53,10.5,6,10.541110330288124,Low
7.2,0.32,0.36,1.0986122886681098,0.032467190137501496,37.0,114.0,0.9906,3.1,0.71,12.3,7,12.41671714112659,High
8.5,0.24,0.39,2.4336133554004498,0.04305948946044697,20.0,142.0,0.9974,3.2,0.53,10.0,6,10.026067776218168,Low
8.3,0.14,0.34,0.7419373447293773,0.04114194333117518,7.0,47.0,0.9934,3.47,0.4,10.2,6,10.267767263942018,Low
7.4,0.25,0.36,1.1151415906193203,0.048790164169432,31.0,100.0,0.992,3.19,0.44,10.8,6,10.88709677419355,Low
6.2,0.12,0.34,0.9162907318741551,0.04401688541677433,43.0,117.0,0.9939,3.42,0.51,9.0,6,9.055236945366737,Low
5.8,0.27,0.2,2.7694588292308535,0.04305948946044697,22.0,179.0,0.9962,3.37,0.37,10.2,5,10.238907849829351,Low
7.3,0.28,0.43,0.9932517730102833,0.07696104113612832,21.0,123.0,0.9905,3.19,0.42,12.8,5,12.92276627965674,Low
7.0,0.33,0.32,0.7884573603642702,0.05164323315183845,38.0,138.0,0.9906,3.13,0.28,11.2,6,11.306279022814454,Low
7.3,0.24,0.39,2.9418039315284354,0.055434706888100586,45.0,149.0,0.9999,3.21,0.36,8.6,5,8.6008600860086,Low
